plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes,
C1,217,182,2021,hem,2,90.06,34.7,117.33,117.22,,,rm next,
C1,217,182,2021,hem,3,NA,NA,10.31,11.00,,,DBH next,
C1,351,182,2021,hem,5,72.38,25.9,107.29,111.25,,needs new,~10mm left,
C1,352,182,2021,ro,2,41.51,47.2,64.13,66.72,,,NA,
C1,353,182,2021,ro,2,33.75,42.8,56.84,59.76,,,NA,
C1,354,182,2021,rm,2,48.76,25.1,54.23,54.58,,,NA,
C1,355,182,2021,yb,2,16.41,14.0,31.74,33.71,,,NA,
C1,356,182,2021,ro,2,50.68,39.1,75.60,78.05,,,NA,
C1,360,182,2021,yb,2,37.31,18.7,41.54,42.79,,,NA,
C1,361,182,2021,ro,4,16.06,64.6,25.13,31.43,,,NA,
C1,362,182,2021,ro,1,81.01,42.3,92.32,92.96,,,NA,
C1,363,182,2021,ro,2,39.46,37.1,68.16,71.48,,,written as 68.16,
C1,366,182,2021,ro,1,84.48,36.5,102.70,104.55,,,NA,
C1,367,182,2021,ro,2,48.93,49.6,88.94,93.02,,,NA,
C2,291,182,2021,rm,1,52.92,18.8,53.46,53.26,,,NA,
C2,378,182,2021,ro,3,50.93,58.7,67.67,72.58,,,NA,
C2,379,182,2021,rm,2,15.43,11.4,18.06,18.12,,"fungus, canopy decline, dying",NA,
C2,380,182,2021,rm,1,50.27,21.6,56.18,56.21,,,NA,
C2,382,182,2021,rm,1,38.72,20.6,46.35,47.49,,,NA,
C2,385,182,2021,rm,1,32.60,15.9,36.94,37.05,,,NA,
C2,386,182,2021,ro,3,42.63,42.0,68.50,70.70,,,NA,
C2,388,182,2021,beech,3,48.32,17.1,65.10,67.41,,bark disease,NA,
C2,390,182,2021,ro,2,131.68,54.8,130.86,131.68,54.8,,line drawn rm next,
C2,390,182,2021,ro,3,16.93,54.8,13.56,16.93,54.8,,DBH next,
C2,391,182,2021,ro,2,59.88,49.0,84.70,87.93,,,NA,
C2,392,182,2021,ro,3,34.60,60.4,46.90,50.79,,,NA,
C2,829,182,2021,yb,1,56.66,12.3,54.34,56.66,12.3,removed del,NA,
C2,829,182,2021,yb,2,14.53,12.3,11.86,14.53,12.3,,NA,
C2,830,182,2021,hem,2,24.26,13.7,66.94,70.54,,,NA,
C2,979,182,2021,rm,1,8.25,9.9,10.95,11.46,,,NA,
C3,207,182,2021,hem,3,25.32,15.7,26.54,30.86,,,NA,
C3,264,182,2021,hem,3,15.27,15.5,16.70,20.89,,,adelgid,
C3,402,182,2021,rm,2,23.05,32.8,47.23,52.05,,,NA,
C3,403,182,2021,rm,1,69.29,27.9,79.45,80.93,,,NA,
C3,405,182,2021,yb,2,32.05,21.0,49.13,51.31,,,NA,
C3,406,182,2021,ash,2,20.77,18.9,36.31,36.37,,,NA,
C3,411,182,2021,rm,2,30.02,28.1,54.49,59.17,,,NA,
C3,412,182,2021,rm,3,12.63,21.9,19.43,20.51,,,NA,
C3,413,182,2021,rm,1,76.86,24.3,89.32,91.02,,,NA,
C3,414,182,2021,yb,2,32.96,15.6,44.62,45.60,,,NA,
C3,415,182,2021,rm,2,37.95,28.2,61.93,62.76,,"bark flaking, make new","bark flaking, make new",
C3,416,182,2021,rm,3,38.77,32.9,61.84,66.15,,,NA,
C3,417,182,2021,rm,1,19.87,17.9,23.78,23.78,,,NA,
C3,418,182,2021,ash,2,38.17,29.8,52.97,56.69,,,NA,
C3,419,182,2021,yb,1,43.75,14.9,49.32,50.78,,,NA,
C3,421,182,2021,ash,3,38.42,42.8,60.30,64.20,,"woodpecker damage, hollowed out at 3m height",NA,
C3,423,182,2021,rm,1,34.82,24.7,38.91,39.13,,,NA,
C3,425,182,2021,ash,2,37.05,20.9,35.42,37.05,20.9,"removed, del",NA,
C3,425,182,2021,ash,3,19.42,20.9,16.63,19.42,20.9,"w/ loose bark DBH = 22.1, after old band removed and loose bark filed off DBH = 20.9",ashes not sprouting leaves new,
C3,426,182,2021,ash,1,29.05,20.5,35.43,35.61,,,NA,
C3,729,182,2021,yb,2,62.83,21.0,90.55,93.26,,,NA,
C4,456,182,2021,rm,1,45.52,18.4,49.55,49.55,,,NA,
C4,459,182,2021,ro,2,54.86,41.8,82.60,82.60,,,NA,
C4,462,182,2021,bo,4,58.63,44.2,101.59,107.00,,,NA,
C4,465,182,2021,rm,1,65.00,17.3,80.24,80.75,,,NA,
C4,466,182,2021,ro,1,72.57,27.5,82.60,83.56,,,NA,
C4,469,182,2021,ro,2,36.21,41.0,59.14,60.64,,,NA,
